,BLACKCOMB_GONDOLA,CATSKINNER,JERSEY,EXCELLATOR,EXCALIBUR,7TH_HEAVEN,GLACIER,PEAK_TO_PEAK_BLACKCOMB,CRYSTAL,SHOWCASE_T_BAR,HORSTMANN_T_BAR
BLACKCOMB_GONDOLA,1,1,1,1,1,1,1,1,1,0,0
CATSKINNER,1,1,1,1,1,1,1,1,1,0,0
JERSEY,1,1,1,1,1,1,1,1,1,0,0
EXCELLATOR,1,0,1,1,0,0,1,0,1,0,0
EXCALIBUR,1,0,0,1,1,0,0,0,0,0,0
7TH_HEAVEN,1,0,1,1,1,1,1,0,1,1,1
GLACIER,0,0,1,1,1,0,1,0,1,1,1
PEAK_TO_PEAK_BLACKCOMB,1,1,1,1,1,1,1,1,1,0,0
CRYSTAL,0,0,1,1,1,0,1,0,1,0,0
SHOWCASE_T_BAR,0,0,1,1,1,0,1,0,1,1,0
HORSTMANN_T_BAR,1,1,1,1,1,1,1,1,1,1,1
